
"","ClSec","7:50-9:30","10:00-10:35","10:45-11:20","11:30-12:05","12:15-12:50","1:45-2:20","","ClSec","7:50-9:30","10:00-10:35","10:45-11:20","11:30-12:05","12:15-12:50","1:00-1:35","1:45-2:20","","ClSec","7:50-9:30","10:00-10:35","10:45-11:20","11:30-12:05","12:15-12:50",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"Monday","XII-A","-","S2","CHEMISTRY","BIOLOGY","PHYSICS","-","","XI-A","-","-","-","-","-","-","-","Monday","X-A","-","ENGLISH","BIOLOGY","MATH","PHYSICS","Monday"
"XII-P","-","ENGLISH","ECO","ACCOUNTS","MATH","-","","XI-P","-","-","-","-","-","-","-","","","","","",""
"XII-Q","-","ENGLISH","B.ST","ECO","MATH","-","","XI-Q","-","-","-","-","-","-","-","","","","","",""
"XII-R","-","B.ST","ENGLISH","ECO","MATH/APPLIED MATH","-","","XI-R","-","-","-","-","-","-","-","","","","","",""
"XII-S","-","ACCOUNTS","ECO","B.ST","MATH/APPLIED MATH","-","","XI-S","-","-","-","-","-","-","-","","","","","",""
"XII-T","-","ACCOUNTS","B.ST","ENGLISH","MATH/APPLIED MATH","-","","XI-T","-","-","-","-","-","-","-","","","","","",""
"XII-U","-","S5","S3","S4","S2/APPLIED MATH","-","","XI-U","-","-","-","-","-","-","-","","","","","",""
"XII-V","-","S5","S3","S4","S2/APPLIED MATH","-","","XI-V","-","-","-","-","-","-","-","","","","","",""
"XII-W","-","S5","S3","S4","S2/APPLIED MATH","-","","XI-W","-","-","-","-","-","-","-","","","","","",""
"XII-X","-","S5","S3","S4","S2/APPLIED MATH","-","","","","-","","","","","","","","","","",""
"","ClSec","8:00-8:45","9:00-9:45","10:05-10:50","11:05-11:50","12:05-12:50","2:00-2:45","","ClSec","8:00-8:45","9:00-9:45","10:05-10:50","11:05-11:50","12:05-12:50","1-1:45","","","ClSec","8:00-8:45","9:00-9:45","10:05-10:50","11:05-11:50","12:05-12:50",""
